Date,Close/Last,Volume,Open,High,Low,Monthly Return,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Rolling Window Size,20
2025-09-26 00:00:00,159.46,30316930.0,160.52,162.11,157.05,0.05561730749498666,,,,,Nr Trading Dates,1255.0
2025-09-25 00:00:00,161.27,36809880.0,157.135,161.63,154.7798,0.035691973708409354,,,,,Nr Monthly Returns,1235.0
2025-09-24 00:00:00,160.88,38464120.0,162.98,165.1,158.43,0.03505702508236661,,,,,,
2025-09-23 00:00:00,160.9,39448320.0,160.52,163.39,159.21,0.015173300418017868,,,,,,
2025-09-22 00:00:00,159.79,46505480.0,157.42,162.68,157.42,0.048673933442367395,,,,,,
2025-09-19 00:00:00,157.39,55448080.0,157.38,159.84,155.9,0.03936976830274085,,,,,,
2025-09-18 00:00:00,157.92,84549470.0,150.96,158.7699,149.85,0.04506828540170625,,,,,,
2025-09-17 00:00:00,159.16,41823840.0,159.28,161.63,155.76,0.045385579080960935,,,,,,
2025-09-16 00:00:00,160.46,27946480.0,161.37,161.95,159.22,0.09323444305180342,,,,,,
2025-09-15 00:00:00,161.16,36808730.0,160.01,162.3,157.6012,0.09662928503356592,,,,,,
2025-09-12 00:00:00,158.57,42232780.0,157.0,160.41,154.92,0.13202461380827524,,,,,,
2025-09-11 00:00:00,155.67,48817720.0,158.62,160.21,154.99,0.1694773830632373,,,,,,
2025-09-10 00:00:00,159.54,52465270.0,163.54,164.525,158.0,0.09220554433071361,,,,,,
2025-09-09 00:00:00,155.82,42802470.0,151.99,156.66,151.93,0.10041956528319772,,,,,,
2025-09-08 00:00:00,151.41,41849000.0,151.8,152.6388,149.22,0.13191195907221956,,,,,,
2025-09-05 00:00:00,151.14,78255950.0,157.12,157.14,150.18,0.13161079863701905,,,,,,
2025-09-04 00:00:00,161.79,32103500.0,159.935,162.05,157.79,0.008186928248954494,,,,,,
2025-09-03 00:00:00,162.13,30752790.0,161.81,164.75,160.58,0.07243684066479639,,,,,,
2025-09-02 00:00:00,162.32,38656130.0,158.42,162.3916,156.62,0.08533632611524271,,,,,,
2025-08-29 00:00:00,162.63,37516820.0,166.81,168.57,161.9,0.054271085963073305,,,,,,
2025-08-28 00:00:00,168.58,36285190.0,168.5,170.99,166.65,0.044833394723332504,,,,,,
2025-08-27 00:00:00,167.13,37031040.0,166.04,167.68,164.65,0.07145896398214485,,,,,,
2025-08-26 00:00:00,166.62,52138560.0,168.65,169.77,164.91,0.06291675305529368,,,,,,
2025-08-25 00:00:00,163.36,36134680.0,165.55,165.59,161.72,0.06114301021614351,,,,,,
