Date,Close/Last,Volume,Open,High,Low,Monthly Return,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Rolling Window Size,20
2025-09-26 00:00:00,219.78,41650100.0,219.08,221.05,218.02,0.05238469968006209,,,,,Nr Trading Dates,1255.0
2025-09-25 00:00:00,218.15,52226330.0,220.06,220.67,216.47,0.04906298420266215,,,,,Nr Monthly Returns,1235.0
2025-09-24 00:00:00,220.21,49509030.0,224.15,224.56,219.45,0.03787318895916692,,,,,,
2025-09-23 00:00:00,220.71,70956190.0,227.83,227.86,220.07,0.032232813815306474,,,,,,
2025-09-22 00:00:00,227.63,45914510.0,230.56,230.565,227.51,0.005301565641030895,,,,,,
2025-09-19 00:00:00,231.48,97943170.0,232.37,234.16,229.7,-0.042041345425593825,,,,,,
2025-09-18 00:00:00,231.23,37931740.0,232.5,233.48,228.79,-0.03261540853383822,,,,,,
2025-09-17 00:00:00,231.62,42815230.0,233.77,234.3,228.71,-0.015708610114474355,,,,,,
2025-09-16 00:00:00,234.05,38203910.0,232.935,235.9,232.23,-0.010998091697064862,,,,,,
2025-09-15 00:00:00,231.43,33243330.0,230.625,233.73,230.32,-0.0017298797723023377,,,,,,
2025-09-12 00:00:00,228.15,38496220.0,230.35,230.79,226.29,0.012327819313529838,,,,,,
2025-09-11 00:00:00,229.95,37485600.0,231.49,231.53,229.3377,-0.023718961932305736,,,,,,
2025-09-10 00:00:00,230.33,60907710.0,237.515,237.68,229.0962,-0.03922592308306015,,,,,,
2025-09-09 00:00:00,238.24,27033780.0,236.355,238.85,235.08,-0.0737593218786949,,,,,,
2025-09-08 00:00:00,235.84,33947100.0,234.94,237.6,233.75,-0.057372939203406574,,,,,,
2025-09-05 00:00:00,232.33,36721800.0,235.19,236.0,231.93,-0.040404213540784696,,,,,,
2025-09-04 00:00:00,235.68,59391780.0,231.185,235.77,230.78,-0.05840214850041999,,,,,,
2025-09-03 00:00:00,225.99,29223130.0,225.21,227.1699,224.36,-0.05568364268884351,,,,,,
2025-09-02 00:00:00,225.34,38843880.0,223.52,226.17,221.83,-0.06267640576908713,,,,,,
2025-08-29 00:00:00,229.0,26199170.0,231.32,231.8125,228.16,-0.06424744268987491,,,,,,
2025-08-28 00:00:00,231.6,33679590.0,229.005,232.71,228.02,0.010779344673386615,,,,,,
2025-08-27 00:00:00,229.12,21254480.0,228.57,229.87,227.81,0.004659171085402627,,,,,,
2025-08-26 00:00:00,228.71,26105370.0,227.11,229.0,226.02,0.010006174150828797,,,,,,
2025-08-25 00:00:00,227.94,22633700.0,227.35,229.6,227.31,0.021054323180626604,,,,,,
2025-08-22 00:00:00,228.84,37315340.0,222.79,229.14,220.82,0.011297591267551706,,,,,,
2025-08-21 00:00:00,221.95,32140460.0,222.65,222.78,220.5,0.04527612860468753,,,,,,
2025-08-20 00:00:00,223.81,36604320.0,227.12,227.27,220.915,0.019819272929482795,,,,,,
2025-08-19 00:00:00,228.01,29891010.0,230.09,230.5283,227.12,-0.0023711260779868035,,,,,,
2025-08-18 00:00:00,231.49,25248890.0,230.225,231.91,228.33,-0.00950548618515594,,,,,,
2025-08-15 00:00:00,231.03,39649240.0,232.58,234.08,229.807,-0.021437517084365733,,,,,,
2025-08-14 00:00:00,230.98,61545820.0,227.4,233.11,227.02,-0.031220932663782605,,,,,,
2025-08-13 00:00:00,224.56,36508340.0,222.0,224.9185,222.0,-0.006119505417533199,,,,,,
2025-08-12 00:00:00,221.47,37254710.0,222.23,223.5,219.05,0.02179533375021365,,,,,,
2025-08-11 00:00:00,221.3,31646220.0,221.78,223.05,220.4,0.01964312918323576,,,,,,
2025-08-08 00:00:00,222.69,32970480.0,223.14,223.8,221.8836,0.010408617345360645,,,,,,
2025-08-07 00:00:00,223.13,40603510.0,221.0,226.22,220.82,-0.003906693488911517,,,,,,
2025-08-06 00:00:00,222.31,54823050.0,214.695,222.65,213.7409,0.001034056515654167,,,,,,
2025-08-05 00:00:00,213.75,51505120.0,213.05,216.3,212.87,0.02590710799713468,,,,,,
2025-08-04 00:00:00,211.65,77890150.0,217.4,217.44,211.42,0.05434320988936192,,,,,,
2025-08-01 00:00:00,214.75,122258800.0,217.21,220.4399,212.8,0.03953408752629912,,,,,,
2025-07-31 00:00:00,234.11,104357300.0,235.77,236.53,231.4,-0.06252724651523647,,,,,,
2025-07-30 00:00:00,230.19,32993270.0,231.64,231.8,229.29,-0.0431887823225141,,,,,,
2025-07-29 00:00:00,231.01,33716220.0,234.15,234.72,230.31,-0.0516100316771272,,,,,,
2025-07-28 00:00:00,232.79,26300140.0,233.35,234.29,232.25,-0.04162060076210353,,,,,,
2025-07-25 00:00:00,231.44,28712100.0,232.22,232.48,231.18,-0.06387046458132063,,,,,,
2025-07-24 00:00:00,232.23,42902270.0,229.17,236.0,228.64,-0.09118915613657046,,,,,,
2025-07-23 00:00:00,228.29,28294850.0,228.47,228.79,227.09,-0.07040498047589439,,,,,,
2025-07-22 00:00:00,227.47,37483700.0,229.68,230.0,226.35,-0.08722321556942476,,,,,,
2025-07-21 00:00:00,229.3,40297560.0,225.835,229.69,225.65,-0.0894009402652046,,,,,,
2025-07-18 00:00:00,226.13,37833810.0,225.14,226.4,222.98,-0.062073953552160145,,,,,,
2025-07-17 00:00:00,223.88,31855830.0,223.32,224.5,222.51,-0.04130972585325792,,,,,,
2025-07-16 00:00:00,223.19,39535930.0,225.875,226.1,222.18,-0.03228216312325362,,,,,,
2025-07-15 00:00:00,226.35,34907290.0,226.2,227.27,225.455,-0.06502461231133086,,,,,,
2025-07-14 00:00:00,225.69,35702600.0,225.07,226.66,224.24,-0.056744084285679584,,,,,,
2025-07-11 00:00:00,225.02,50518310.0,223.58,226.6799,222.37,-0.05395859485123649,,,,,,
2025-07-10 00:00:00,222.26,30370590.0,221.55,222.79,219.7,-0.02114339794929907,,,,,,
2025-07-09 00:00:00,222.54,38155120.0,221.07,224.29,220.47,-0.025301677335249857,,,,,,
2025-07-08 00:00:00,219.36,45691990.0,223.915,224.0,218.43,-0.026749568030112785,,,,,,
2025-07-07 00:00:00,223.47,36604140.0,223.0,224.29,222.37,-0.07217188310099762,,,,,,
2025-07-03 00:00:00,223.41,29632350.0,221.82,224.01,221.36,-0.07517936084126761,,,,,,
2025-07-02 00:00:00,219.92,30894180.0,219.73,221.6,219.06,-0.06679643389260738,,,,,,
2025-07-01 00:00:00,220.46,39256830.0,219.5,221.875,217.93,-0.06468973157742802,,,,,,
2025-06-30 00:00:00,219.39,58887780.0,223.52,223.82,219.12,-0.06779220951448571,,,,,,
2025-06-27 00:00:00,223.3,119217100.0,219.92,223.3,216.74,-0.08209736218720085,,,,,,
2025-06-26 00:00:00,217.12,50480810.0,213.12,218.035,212.01,-0.05880700423502565,,,,,,
2025-06-25 00:00:00,211.99,31755700.0,214.615,216.03,211.11,-0.02856585229261387,,,,,,
2025-06-24 00:00:00,212.77,38378760.0,212.135,214.34,211.045,-0.05695661450796601,,,,,,
2025-06-23 00:00:00,208.47,37311730.0,209.79,210.39,207.3101,-0.02609667740800669,,,,,,
2025-06-20 00:00:00,209.69,75350730.0,214.68,214.89,208.2709,-0.04172850475671685,,,,,,
2025-06-18 00:00:00,212.52,44360510.0,215.09,217.96,212.34,-0.04057302934174822,,,,,,
2025-06-17 00:00:00,214.82,32086260.0,215.195,217.41,214.56,-0.041147901825791255,,,,,,
